'blue chip' share	蓝筹股
composition	n. 作品；成分，作文，作品，作文；作曲；构成，作曲；写作
compost	n. 混合肥料
compound sentence	并列句
comprehend	vi. 理解
comprehending	n. 理解
comprehension	n. 理解（力），理解；领悟，理解，理解力，领悟能力；理解练习
comprehensive	adj. 综合的
compress	压缩
compromise	n. 妥协，让步，折中；妥协 n.&vi. 妥协；折衷 vi.&n. 妥协，让步
compulsive	adj. 强迫性的，强制性的
compulsory	adj. 必须做的；必修的，强制性的，义务的，强制的，强迫的，强制的；义务的，必修的；义务的；强制的，必须做的；义务的；强迫的；强制的，必须做的；强制的；义务的
computer	电脑，计算机，计算机，电脑，计算机：电脑，计算机；电脑 n. 电脑，计算机，计算机，计算机电脑，计算机；电脑
computer class	计算机课
computer game	电脑游戏（机） n. 电脑游戏
computer lab	电脑实验室
computer literacy	计算机能力（常识，知识）
computer operator	计算机操作员
computer output microfilm recorder	计算机输出缩微胶卷记录器
computer programmer	电脑编程员，计算机程序设计员；编程人员，计算机程序；设计员；编程人员
computer room	计算机房
computer specialist	电脑专家
computer studies	计算机课
computer-aided manufacturing	计算机辅助生产
computer-based training(CBT)	计算机辅助教学
computerise	v. 使计算机化用计算机操作
comrade	n. 同志
conceal	v. 稳盖，隐瞒，隐藏，隐藏
concede	v. 承认（某事属实、合乎逻辑等）
conceive	v. 构想，设想 vt. 设想；想象；怀孕
concentrate	v. 专心于，集中（注意力），聚精会神 vi. 集中（思想、注意力等），集中（注意力、思想等） vi.&vt. 专心于；注意，集中；聚集 vt.&vi. 集中（注意力、思想等）；全神贯注
concentrate on	集中；全神贯注于
concentration	n. 专心；专注，集中；专心
concept	n. 概念，概念；观念，观念；概念
conception	n. 主意；计划
concern	n. 关心，担心，关系，关心，关注，担心；忧虑，担心；担忧 n.&vi. 关心；挂念 v.  vt. 使忧虑；与……相关，涉及，关于
concerned	adj. 关心的；担心的，关心的；有关的，担心的；忧虑的
concerned about	adj. 担心的
concerning	prep. 关于
concert	音乐会，音乐会，演奏会 n. 音乐会，音乐会；演奏会
concert hall	音乐厅
concession	n. 让步；让与某人之物
concise	adj. 简明的，简练的，简明的；简练的
conclude	v. 得出结论；断定；推断出，推断出；（使）结束 vi.&vt. 推断出；结束；总结，（使）结束；下结论；推断 vt. 做出结论；结束 vt.&vi. 结束；推断出
conclusion	n. 总结，归纳，结尾；结论，结论，结论，结束，结论；推论，结论；结束
concrete	adj. 具体的，具体的；有形的 n. 混凝土 v.
concubine	n. （旧时某些社会里的）妾，姨太太
condemn	v. 谴责，责备，责难；谴责 vt. 判刑，宣判；指责，谴责，责备；谴责，迫使（某人）陷于不幸的境地，谴责；使……注定
condescend	v. 俯就，有优越感，居高临下
condition	n. 条件，状况，条件；状况，状况；情况，状况；条件；环境，状况；身体状况，环境，条件，状况，环境；条件；状态，状况，(-s)环境；情况
conditioner	n. 护发素
condom	n. 避孕套
condor	秃鹰
conduct	n.  v. 进行，实施，实施；执行，指挥，进行 vt. 实施，处理，实施；指挥乐队，指挥（歌唱或音乐演奏）；实施
conductor	n. 售票员；指挥，指挥，管理人，向导，（公交车）售票员；（乐队）指挥，（合唱团、乐队等的）指挥，（公车）售票员；列车员；（乐队）指挥
cone	圆锥体 n. 锥形蛋卷筒；圆锥体
confederation	n. 同盟，联盟
confer	vi.  vt.
conference	n. （大型的正式）会议，研讨会，（正式的）会议；商谈
confess	v. 供认（罪行），忏悔
confess to	供认；承认
confidence	n. 信心；信念，信心，信心；自信，自信，自信；信心
confident	adj. 有信心的；自信的，自信的，自信的，有信心的，自信的；确信的，自信的；肯定的，有把握的
confidential	adj. 机密的，保密的；秘密的，机密的，秘密的，机密的；秘密的，秘密的，秘密的，机密的
confidently	adv. 自信地
confine	v. 限制；限定
confine...to...	将某人/某物限制在……之内
confirm	v. 证实，证实；确认，（尤指通过提供更多证据）证实，进一步确定 vt. 确定，证实，确认，证实；确认，证实；证明；批准 vt.&vi. 证实，证明；确认；使确信
confirmation	n. 证实
confirmed	adj. 坚定的，根深蒂固的
confiscate	vt. 没收
conflict	n. 争执；冲突，冲突，抵触；冲突，斗争；冲突，矛盾；冲突 v.  vi.
conflicted	adj. 矛盾的；心情
conform	vt. 符合，顺应；遵守
confront	v. 面对（危险、困难）
confuse	vt. 使迷惑；使为难，使困惑，使困惑；使糊涂，使糊涂，使迷惑，使迷惑
confused	adj. 困惑的，不解的，困惑的；混乱的，糊涂的，糊涂的，迷惑的
confusing	adj. 令人困惑的；难懂的，难以理解的，不清楚的
confusion	n. 困惑，混乱，混淆，迷惑；混乱，杂乱；混乱
confute	v. 驳倒，完全否定
congestion	n. 拥塞；堆积
congratulate	v. 祝贺 vt. 向（某人）道贺，祝贺，祝贺，祝贺；庆贺
congratulation	n. 祝贺，祝贺，恭喜，祝贺；恭祝；贺词，祝贺；贺词，祝贺；（复数）贺词
congratulations	n. [复数]祝贺，[pl.]祝贺；恭贺
congress	n. 议会，国会(Congress美国国会)
connect	连接 v. 连接，连接；把……联系起来，连接；联结，（使）连接，（使）连接；与……有联系 vt. 关联；连接，连接，连接；联结；联系
connect to/with	与……相连，连接
connect with	连接；联络
connect...with	把……和……连接或联系起来
connection	n. 连接；关系，电话连接；计算机网络连接，联系，联系；关系；关联，联系；连接，连接，连接；关联，连接；联结；联系 pl.
connector	插头，接头
conquer	v. 征服，占领 vt. 征服，占领；战胜，克服，征服，战胜，征服；占领
conscience	n. 良心，良心，良知，良心；道德心
conscious	adj. 意识到的，清醒的；觉察的，意识到的；自觉的
consciousness	n. 意识，知觉，神志清醒；知觉
consecrate	v. 将（某地、某物）奉为神圣
consecutive	adj. 连续的，不间断的
consensus	n. 一致的意见，共同意见，一致看法，共识，共识，一致的意见，共识；共同意见
consequence	n. 结果；后果；影响，后果，后果，结果，结果，结果，后果，结果，影响
consequently	adv. 所以；因而，因此；结果，因此；结果；所以，所以，因此
conservation	n. 保存，保持；保护，保护，（对自然环境的）保护，（生态）保护，保存；保护
conservationist	n. 自然环境保护主义者
conservative	adj. 保守的，旧式的，保守的；守旧的
conservatory	n. 音乐学院
consider	v. 仔细考虑；认为，仔细考虑；认为；觉得，注视；仔细考虑，考虑；斟酌，认为，认为，以为；考虑到，认为；觉得 vt. 考虑，认为；考虑
consider oneself as a failure	把自己看成是一个失败者
considerable	adj. 相当多（或大、重要等）的，相当大的，相当多的
considerably	adv. 相当
considerate	adj. 考虑周到的，体谅的，考虑周到的，体贴的，为他人着想的，体贴的，考虑周到的，体贴的；体谅的，想得周到的，体贴的
consideration	n. 考虑；体谅，仔细考虑；必须考虑的因素；体谅，顾及，体谅；考虑，思考，考虑，（作计划或决定时）必须考虑的事
considering	prep.&conj. 考虑到，鉴于
consist	vi. 组成，组成，构成，组成；在于；一致
consist of	由……组成，由……组成（构成），由……组成／构成；包括，由……组成；由……构成
consist of sth.	由……组成；由……构成
consistent	adj. —致的；吻合的，一致的，一致的，始终如一的，一致的；始终如一的；连续的，一致的；符合的
consistent with	符合；与……一致
consolidate	v. 巩固，加强
constant	adj. 时常发生的；连续不断的，经常的，不断发生的，经常的，持续的，连续发生的，不断的；恒定的
constantly	adv. 不变地，经常地，不断地，经常地，总是 v. 不断地；时常地
constitution	n. 宪法，宪法；章程
constitutional	adj. 宪法的
constraint	n. 约束，限制
construct	vt. 制造；修筑，建造，建设；修建，建造，建造；构造
construction	建筑 n. 建筑物；建筑，建筑（物），建造，建造；建设；建筑，施工；建筑物，建筑；建筑物，建设；建筑物
constructive	adj. 建设性的，有益的，建设性的；有帮助的
consult	v. 求教，向……咨询，与……商量，咨询；请教 vi.&vt. 商量，商议，请教，参考，考虑 vt. 咨询；请教，咨询；请教；商量，请教；咨询，请教；查阅
consultant	n. 顾问，顾问，商议者，咨询者，顾问；咨询者
consultation	n. 咨询
consume	v. 吃，喝；消费，消耗，吃，喝；消耗，烧毁；毁灭，（正式）吃；喝 vt. 消费；消耗；耗尽；吃完，喝；消费，消耗，大吃；大喝，消耗，耗费；消费，消耗；吃完，消耗；吃完，喝光
consumer	n. 消费者，消费者；用户，消费者；顾客
consumption	n. 消费（量）；消耗（量），消费，消耗
contact	n. 接触，联系 n.&v. 接触；联系 v. 联系，联系；联络 vt. 接触；联系，联系，联络；联系（某人） vt.&n. 联系，接触
contain	v. 包含 vt. 包含，含有，包含；包括，包含；容纳，包含；容纳；容忍
container	容器 n. 容器，容器；集装箱，集装箱
contemporary	adj. 当代的，当代的；同时代的，现代的，当代的；同一时代的 n. 同时代的人
content	adj. 满意的，满意的，满足的，满意，满足，甘愿 n. 内容，内容；满足，内容；目录，满足，容纳的东西；目录 vt.
contest	竞赛，比赛；竞赛 n. 比赛，竞争，竞赛；比赛
contestant	竞争者 n. 参赛者，比赛者
context	n. 上下文；背景，上下文；语境；背景，场合，场合；环境
continent	n. 大陆，大陆，洲，大陆；陆地，洲，大陆，洲；大陆，洲；大陆（与岛、半岛相对而言），大陆；洲
continental	adj. 大陆的；大洲的
continental shelf	大陆架
continual	adj. 不断的；连续的，连续的，频繁的
continually	adv. 不停地，一再地
continue	继续 v. 持续，继续做，持续；继续，持续；继续存在，继续，继续；延续，（使）继续 vt.&vi. 继续；连续，继续
continuing	adj. 连续不断的
continuous	adj. 连续的，持续的
continuously	adv. 不断地，持续地，不断地；持续地，不断地；连续地
contract	n. 合同，契约；合同，合同；契约 vi. 收缩
contradict	v. 反驳 vt. 与（其他事物）相矛盾，反驳，纠正，反驳；驳斥，同……矛盾或抵触；反驳，同……矛盾，同……抵触 vt.&vi. 反驳，驳斥；与……相矛盾，相反
contradiction	n. 矛盾，不一致，反驳；矛盾
contradictory	adj. 互相矛盾的，相反的，对立的，引起矛盾的；好反驳的，相互矛盾的，对立的，不一致的，矛盾的；同……相反的 n.
contrary	adj. 相反的 n.
contrast	n. 差异，差别 v. 对照 vt.&vi.
contrast with	与……形成对照
contribute	v. 促成 vi. 贡献；出力 vi.&vt. 捐助 vt. 捐献，贡献 vt.&vi. 贡献，出力；投稿；捐献，捐献，捐赠，捐助；贡献；促成，导致，捐献；贡献；捐助
contribute to	有助于
contribute to...	有助于……
contribution	n. 贡献，贡献，促成作用；捐款，捐献物；投稿，贡献，促成因素；捐赠，贡献；捐款，贡献，捐助
control	n. 控制，支配 n.&v. 限制；约束；管理 v. 克制；控制，控制；管理；支配，操作；操纵，操纵，控制（机器或系统等） v.&n. 控制 vt. 控制，支配，控制；掌控
control unit	控制单元
controller	n. 控制器；控制者，管理者，控制者，指挥者
controversial	adj. 争论的；争议的，有争议的，有争议的，引起争论的
controversy	n. 争论；争吵，（尤指关于公共政策或道德问题的）争议，争论
convenience	n. 便利，舒适，适宜，便利；便利的事物，方便，便利，方便，便利；便利的设施或用具，方便；舒适，便利；方便
convenience store	便利店，便利店（通常24小时开放）
convenient	adj. 方便的，便利的，方便的，便利的；方便的，便利的；方便的；就近的，方便的，便利的，方便的；便捷的，方便的；合宜的
